X	Y	Z
-23488	1984	10800
-21972	1608	7356
-13308	2964	7888
-11084	4100	12712
-5200	5660	14356
-488	3460	10032
3784	2504	7944
8568	2940	8408
8484	2328	8024
11244	4664	13772
6208	3448	11664
-2084	532	5896
-9080	-20	8616
-17756	2340	17180
-29440	4092	16560
-17708	-336	1484
-7528	540	4364
-6352	6908	17160
-6056	7124	15088
5484	1200	3552
19512	-1028	3412
20044	2604	12552
-560	8336	22092
-5080	4092	13144
-7272	-2408	3820
-20896	540	12752
-31380	4796	17508
-19408	-664	-2104
-6192	-1056	-596
-5076	6524	15792
-1320	5788	14920
11144	1716	11432
8600	2084	13404
4144	3876	17428
-344	4112	16764
-2684	2936	14872
-348	4280	13432
3284	1104	11488
3684	1480	13112
2788	2196	13648
2044	2668	14592
1020	2752	15048
1612	1860	13524
2812	1840	14152
2268	2128	14200
1608	1572	13616
2496	1484	14236
3116	1756	14544
3036	1872	14808
2808	1668	13868
3068	948	12752
2944	2024	14844
1300	2276	15192
1580	1684	14516
1836	964	13212
2220	1124	12720
276	1436	15772
-520	1856	14732
-2980	3320	17780
1240	2416	15560
1880	396	13832
1000	520	13920
3456	1676	13848
988	-816	14516
6804	-1588	-1216
-3160	-2644	10944
1120	-676	14888
880	404	15176
80	-180	15104
652	-456	14008
1428	-232	13632
524	-2208	14136
1712	-476	14216
-92	3160	15720
-1148	608	15724
5432	-13324	15072
-5536	-2692	17800
-2164	888	14868
-128	-1008	13996
1184	-1400	12624
-12	392	14628
88	192	14312
-376	344	15324
584	1076	15132
1684	1060	14148
748	940	13876
504	864	13656
944	872	13384
692	884	13308
912	1840	14644
1744	1804	14412
1048	1852	14900
1744	1884	15000
1720	1688	14296
2232	1788	14412
2528	1860	15044
2036	1036	14176
2568	2128	14708
976	1192	13808
1808	1572	13796
2416	1956	14664
2848	2064	15032
2624	1780	14752
2276	2008	13964
1928	1412	14048
2476	1600	14348
2620	2184	14300
2936	1964	14324
2564	1832	14112
2492	1740	14164
2316	1544	13696
2560	1888	14200
2476	1928	14792
2260	1860	14712
2292	2184	14424
2112	2296	13404
1704	2116	13944
1724	1888	14452
1960	2052	14484
2424	2528	14956
2156	2248	14400
2164	2212	14244
1996	1992	14116
2492	2384	14464
2520	2224	14392
2312	2260	14196
1928	1972	13648
2004	1932	13912
1932	1788	14408
2636	2204	14612
2064	1544	14572
2428	2444	14812
2220	2116	14436
2484	2340	14168
2324	2092	13984
2724	2456	14296
2256	1684	13876
2244	1692	14004
2184	1908	14448
2648	2000	14408
2044	2120	14212
1984	2128	14152
1948	2064	14304
2312	2012	13972
2072	1796	14132
2156	1820	14348
2188	2348	14484
2352	2288	14252
2400	2436	14292
2380	2264	14192
2068	2040	14180
2212	1892	14444
1796	1864	13992
2116	2068	14100
2136	2120	14172
2444	2484	14852
2208	2088	14300
2188	1920	14296
1696	1824	14012
1840	1796	14080
2200	2272	14136
2156	1624	14320
2448	1992	14680
2028	2136	14276
2240	2288	14196
2220	2096	14308
2124	1912	14384
2092	2092	14156
1920	1812	14508
2236	2236	14296
2024	2136	14424

